index_id,year,quarter,year_quarter_label,period_start_date,is_pandemic_period,generative_ai_era,country_id,country_code,country_name,region,development_tier,gdp_per_capita_usd,digital_infrastructure_score,ai_policy_maturity,internet_penetration_pct,stem_graduates_per_100k,industry_id,industry_name,industry_sector,automation_susceptibility,avg_ai_investment_pct_revenue,ai_adoption_stage,global_workforce_millions,primary_ai_use_case,skill_category_id,skill_category_name,skill_category_code,ai_replaceability_score,ai_augmentation_potential,median_reskilling_duration_months,typical_education_level,global_worker_share_pct,ai_adoption_rate,productivity_impact_score,displacement_risk_index,jobs_displaced_count,jobs_created_count,reskilling_investment_usd,avg_wage_change_pct,ai_tool_usage_hours_per_week,workforce_size,data_confidence_score,net_jobs_change,job_creation_displacement_ratio,reskilling_spend_per_displaced_job
1,2021,1,2021-Q1,2021-01-01,t,f,3,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0,21,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,1,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,24.72,2.01,6.05,3739,2846,139083.86,1.74,1.5,62649,0.798,-893,0.76116608718908799144,37.1981438887403049
2,2022,3,2022-Q3,2022-07-01,f,f,26,EG,Egypt,Middle East,Emerging,9346417.78,69.6,Advanced,50.1,780.0,12,Telecommunications,Technology,32.9,1.74,Mature,97.4,Network optimisation & customer service bots,7,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,20.47,6.09,3.46,90,32,13439.86,5.39,1.4,4411,0.855,-58,0.35555555555555555556,149.3317777777777778
3,2022,4,2022-Q4,2022-10-01,f,t,21,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0,23,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,7,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,54.48,6.38,7.69,4080,2337,107635.9,-1.64,10.0,61499,0.772,-1743,0.57279411764705882353,26.3813480392156863
4,2023,4,2023-Q4,2023-10-01,f,t,20,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0,3,Healthcare,Healthcare,45.0,1.5,Piloting,22.9,Diagnostic imaging & drug discovery,5,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,48.23,2.36,4.07,311,191,226113.86,-1.65,3.0,8898,0.892,-120,0.61414790996784565916,727.0542122186495177
5,2023,2,2023-Q2,2023-04-01,f,t,6,CN,China,Asia-Pacific,Emerging,7038473.41,58.4,Established,65.7,1306.0,5,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,46.52,0.92,4.81,1636,890,6753.32,-1.16,8.6,39594,0.65,-746,0.54400977995110024450,4.1279462102689487
6,2023,3,2023-Q3,2023-07-01,f,t,28,IL,Israel,Middle East,Developed,19806557.87,81.8,Developing,96.4,2798.0,20,Professional Services,Professional Services,56.8,3.05,Piloting,526.2,Document automation & research synthesis,2,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,52.96,5.97,4.67,1301,546,80960.83,3.23,10.0,50232,0.536,-755,0.41967717140661029977,62.2296925441967717
7,2024,1,2024-Q1,2024-01-01,f,t,29,CH,Switzerland,Europe,Developed,35093239.12,66.1,Developing,66.7,1934.0,24,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,3,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,49.82,5.52,6.86,6725,1902,2034883.3,0.58,0.0,101534,0.878,-4823,0.28282527881040892193,302.5848773234200743
8,2022,1,2022-Q1,2022-01-01,t,f,22,ID,Indonesia,Asia-Pacific,Emerging,7463837.54,40.6,Developing,58.6,1520.0,21,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,4,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,0.5,3.91,5.08,2930,812,4899.39,1.74,0.8,68119,0.83,-2118,0.27713310580204778157,1.6721467576791809
9,2021,1,2021-Q1,2021-01-01,t,f,21,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0,23,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,7,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,8.13,5.14,4.59,4186,2760,69871.25,0.97,5.4,97210,0.896,-1426,0.65934065934065934066,16.6916507405637840
10,2024,1,2024-Q1,2024-01-01,f,t,8,BR,Brazil,Latin America,Emerging,12728373.53,50.6,Established,53.6,688.0,2,Financial Services,Finance,53.9,6.58,Exploring,61.4,Fraud detection & algorithmic trading,6,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,34.01,5.9,6.38,3738,1275,573585.14,1.91,3.6,178657,0.889,-2463,0.34109149277688603531,153.4470679507758159
